Invoice Number,Field_1,Vendor,Pin code,Field_2,Invoice Date,Field_3,Tax(18%),Field_4,Total Price,Field_5,Total Amount,Field_6,Sum,Field_7,SUMIF
INV-98438,,Vendor,95829,,25-Apr-24,,13738,,62584,,76322,,76322,,
INV-87360,,Vendor,31609,,20-Apr-24,,4655,,21207,,25862,,25862,,
INV-44075,,Vendor,42989,,3-May-24,,16574,,75504,,92078,,92078,,
INV-36820,,Vendor,22983,,25-Apr-24,,1723,,7850,,9573,,9573,,
INV-23067,,Vendor,63659,,28-Apr-24,,14558,,66319,,80877,,80877,,
INV-80482,,Vendor,93553,,30-Apr-24,,7834,,35690,,43525,,43525,,
INV-16590,,Vendor,48274,,24-Apr-24,,12877,,58664,,71542,,71542,,
INV-99534,,Vendor,86980,,7-Apr-24,,5631,,25650,,31281,,31281,,
INV-68971,,Vendor,63395,,10-Apr-24,,13308,,60627,,73935,,73935,,
INV-65091,,Vendor,79723,,1-May-24,,12503,,56957,,69459,,69459,,
INV-53199,,Vendor,10753,,5-May-24,,16574,,75503,,92077,,92077,,
INV-84528,,Vendor,94324,,14-Apr-24,,780,,3553,,4333,,4333,,
INV-38087,,Vendor,84591,,16-Apr-24,,2557,,11647,,14204,,14204,,
INV-54292,,Vendor,38619,,29-Apr-24,,16091,,73302,,89392,,89392,,
INV-14056,,Vendor,57877,,20-Apr-24,,4631,,21099,,25731,,25731,,
INV-64009,,Vendor,63811,,28-Apr-24,,15428,,70285,,85713,,85713,,
INV-82345,,Vendor,38228,,15-Apr-24,,3627,,16521,,20148,,20148,,
INV-21503,,Vendor,83817,,25-Apr-24,,1536,,6998,,8534,,8534,,
INV-81886,,Vendor,34189,,11-Apr-24,,8476,,38614,,47090,,47090,,
INV-89841,,Vendor,79008,,15-Apr-24,,5016,,22851,,27867,,27867,,
INV-69162,,Vendor,50904,,1-May-24,,6055,,27584,,33640,,33640,,
INV-21868,,Vendor,86412,,24-Apr-24,,16940,,77171,,94111,,94111,,
INV-10854,,Vendor,20330,,26-Apr-24,,6374,,29035,,35409,,35409,,
INV-54819,,Vendor,56192,,21-Apr-24,,9747,,44401,,54147,,54147,,
INV-79671,,Vendor,78721,,6-May-24,,5268,,23998,,29266,,29266,,
INV-80256,,Vendor,90061,,22-Apr-24,,9859,,44912,,54771,,54771,,
INV-35952,,Vendor,69936,,5-May-24,,3703,,16868,,20571,,20571,,
INV-81667,,Vendor,11746,,21-Apr-24,,1699,,7740,,9439,,9439,,
INV-91188,,Vendor,92432,,21-Apr-24,,1900,,8654,,10554,,10554,,
INV-88572,,Vendor,51469,,9-Apr-24,,13490,,61454,,74944,,74944,,
INV-20024,,Vendor,61657,,23-Apr-24,,3096,,14104,,17200,,17200,,
INV-84137,,Vendor,97472,,11-Apr-24,,2945,,13418,,16363,,16363,,
INV-77883,,Vendor,74288,,4-May-24,,465,,2117,,2581,,2581,,
INV-82230,,Vendor,37361,,22-Apr-24,,15063,,68619,,83681,,83681,,
INV-32405,,Vendor,17436,,9-Apr-24,,45,,203,,248,,248,,
INV-21083,,Vendor,42410,,20-Apr-24,,13319,,60677,,73996,,73996,,
INV-51114,,Vendor,11208,,27-Apr-24,,8478,,38624,,47102,,47102,,
INV-18276,,Vendor,83556,,8-Apr-24,,3963,,18052,,22014,,22014,,
INV-14310,,Vendor,92655,,8-Apr-24,,6283,,28624,,34908,,34908,,
INV-53647,,Vendor,63992,,30-Apr-24,,16807,,76566,,93373,,93373,,
INV-25547,,Vendor,86185,,6-May-24,,10813,,49260,,60073,,60073,,
INV-15609,,Vendor,27132,,3-May-24,,12650,,57626,,70275,,70275,,
INV-81614,,Vendor,55415,,19-Apr-24,,9209,,41950,,51159,,51159,,
INV-17719,,Vendor,46732,,1-May-24,,6009,,27373,,33382,,33382,,
INV-96886,,Vendor,90730,,7-Apr-24,,15786,,71913,,87699,,87699,,
INV-19943,,Vendor,44700,,19-Apr-24,,3463,,15776,,19239,,19239,,
INV-17470,,Vendor,21925,,14-Apr-24,,17866,,81390,,99256,,99256,,
INV-68484,,Vendor,48183,,14-Apr-24,,16844,,76735,,93579,,93579,,
INV-30277,,Vendor,23925,,4-May-24,,13320,,60682,,74003,,74003,,
INV-85228,,Vendor,78654,,6-May-24,,3547,,16156,,19703,,19703,,
INV-50943,,Vendor,28889,,16-Apr-24,,14311,,65196,,79507,,79507,,
INV-91790,,Vendor,47868,,23-Apr-24,,7039,,32065,,39104,,39104,,
INV-95341,,Vendor,31216,,20-Apr-24,,4810,,21912,,26721,,26721,,
INV-87228,,Vendor,28083,,5-May-24,,10971,,49981,,60952,,60952,,
INV-45914,,Vendor,50068,,20-Apr-24,,8435,,38428,,46864,,46864,,
INV-73900,,Vendor,88840,,23-Apr-24,,10158,,46273,,56431,,56431,,
INV-52993,,Vendor,87675,,18-Apr-24,,8255,,37608,,45863,,45863,,
INV-63382,,Vendor,69133,,2-May-24,,11334,,51634,,62968,,62968,,
INV-13775,,Vendor,26855,,17-Apr-24,,15087,,68731,,83818,,83818,,
INV-95352,,Vendor,79138,,18-Apr-24,,14464,,65890,,80354,,80354,,
INV-96220,,Vendor,45899,,7-Apr-24,,9485,,43208,,52693,,52693,,
INV-37861,,Vendor,41231,,4-May-24,,769,,3503,,4272,,4272,,
INV-53387,,Vendor,45582,,24-Apr-24,,17996,,81981,,99977,,99977,,
INV-88373,,Vendor,49687,,11-Apr-24,,3552,,16183,,19736,,19736,,
INV-81276,,Vendor,47431,,5-May-24,,14764,,67259,,82023,,82023,,
INV-37313,,Vendor,23953,,24-Apr-24,,8432,,38410,,46842,,46842,,
INV-40525,,Vendor,60720,,3-May-24,,3020,,13757,,16777,,16777,,
INV-35997,,Vendor,12580,,16-Apr-24,,2979,,13570,,16549,,16549,,
INV-38592,,Vendor,22742,,14-Apr-24,,15968,,72744,,88712,,88712,,
INV-24041,,Vendor,59573,,18-Apr-24,,16049,,73110,,89159,,89159,,
INV-26404,,Vendor,59187,,18-Apr-24,,12685,,57786,,70471,,70471,,
INV-19203,,Vendor,48124,,2-May-24,,12882,,58684,,71566,,71566,,
INV-37429,,Vendor,46790,,19-Apr-24,,2364,,10771,,13135,,13135,,
INV-35303,,Vendor,62926,,26-Apr-24,,14985,,68267,,83253,,83253,,
INV-59010,,Vendor,30688,,24-Apr-24,,3590,,16354,,19944,,19944,,
INV-79986,,Vendor,69407,,12-Apr-24,,1675,,7629,,9303,,9303,,
INV-87535,,Vendor,35233,,22-Apr-24,,4006,,18251,,22257,,22257,,
INV-79299,,Vendor,59442,,11-Apr-24,,2932,,13357,,16290,,16290,,
INV-35342,,Vendor,74670,,3-May-24,,9791,,44604,,54395,,54395,,
INV-10555,,Vendor,58241,,30-Apr-24,,13032,,59368,,72400,,72400,,
INV-64562,,Vendor,32892,,24-Apr-24,,4493,,20467,,24959,,24959,,
INV-36497,,Vendor,74993,,21-Apr-24,,4195,,19109,,23303,,23303,,
INV-90450,,Vendor,71905,,28-Apr-24,,6891,,31392,,38284,,38284,,
INV-85040,,Vendor,77085,,26-Apr-24,,9276,,42260,,51536,,51536,,
INV-27034,,Vendor,91492,,16-Apr-24,,10274,,46802,,57075,,57075,,
INV-63724,,Vendor,87494,,10-Apr-24,,5362,,24425,,29787,,29787,,
INV-82349,,Vendor,22156,,19-Apr-24,,10791,,49160,,59952,,59952,,
INV-16628,,Vendor,85067,,21-Apr-24,,3773,,17189,,20962,,20962,,
INV-23809,,Vendor,96073,,3-May-24,,7671,,34944,,42615,,42615,,
INV-14101,,Vendor,53570,,18-Apr-24,,11038,,50283,,61321,,61321,,
INV-42947,,Vendor,87084,,1-May-24,,14275,,65030,,79305,,79305,,
INV-57601,,Vendor,43140,,17-Apr-24,,7590,,34576,,42166,,42166,,
INV-91157,,Vendor,35733,,24-Apr-24,,9685,,44121,,53806,,53806,,
INV-23674,,Vendor,48961,,10-Apr-24,,4696,,21393,,26089,,26089,,
INV-84330,,Vendor,49972,,17-Apr-24,,9798,,44636,,54434,,54434,,
INV-10022,,Vendor,45368,,3-May-24,,8366,,38113,,46480,,46480,,
INV-85088,,Vendor,92719,,1-May-24,,6452,,29391,,35842,,35842,,
INV-58733,,Vendor,61063,,5-May-24,,4911,,22371,,27281,,27281,,
INV-41772,,Vendor,38271,,25-Apr-24,,15506,,70639,,86145,,86145,,
INV-83456,,Vendor,91657,,1-May-24,,4122,,18779,,22901,,22901,,
INV-31812,,Vendor,62366,,9-Apr-24,,12478,,56842,,69320,,69320,,
INV-86910,,Vendor,71469,,4-May-24,,2330,,10613,,12943,,12943,,
INV-99444,,Vendor,36330,,28-Apr-24,,7306,,33285,,40591,,40591,,
INV-72291,,Vendor,36679,,3-May-24,,14753,,67207,,81960,,81960,,
INV-54599,,Vendor,62956,,9-Apr-24,,10493,,47800,,58293,,58293,,
INV-94583,,Vendor,55977,,16-Apr-24,,13345,,60795,,74141,,74141,,
INV-18796,,Vendor,66322,,10-Apr-24,,3353,,15275,,18628,,18628,,
INV-32288,,Vendor,72790,,6-May-24,,10109,,46054,,56164,,56164,,
INV-95741,,Vendor,56482,,21-Apr-24,,1919,,8741,,10660,,10660,,
INV-10107,,Vendor,96432,,4-May-24,,3647,,16614,,20261,,20261,,
INV-69016,,Vendor,90151,,19-Apr-24,,11640,,53027,,64668,,64668,,
INV-72530,,Vendor,15252,,6-May-24,,8069,,36759,,44828,,44828,,
INV-53884,,Vendor,60643,,6-May-24,,10719,,48832,,59551,,59551,,
INV-12739,,Vendor,20109,,20-Apr-24,,3913,,17827,,21740,,21740,,
INV-94225,,Vendor,65694,,22-Apr-24,,2789,,12706,,15495,,15495,,
INV-53750,,Vendor,68384,,24-Apr-24,,5221,,23785,,29006,,29006,,
INV-14134,,Vendor,85828,,21-Apr-24,,7339,,33432,,40770,,40770,,
INV-90604,,Vendor,27236,,13-Apr-24,,7224,,32911,,40135,,40135,,
INV-84926,,Vendor,64091,,8-Apr-24,,2603,,11859,,14462,,14462,,
INV-25396,,Vendor,21509,,2-May-24,,5376,,24492,,29868,,29868,,
INV-57983,,Vendor,83923,,18-Apr-24,,452,,2057,,2509,,2509,,
INV-36411,,Vendor,40874,,9-Apr-24,,12559,,57213,,69772,,69772,,
INV-43848,,Vendor,61856,,28-Apr-24,,15720,,71613,,87333,,87333,,
INV-21907,,Vendor,14381,,11-Apr-24,,13656,,62211,,75867,,75867,,
INV-25033,,Vendor,27453,,18-Apr-24,,2946,,13423,,16369,,16369,,
INV-30333,,Vendor,48885,,16-Apr-24,,5973,,27212,,33185,,33185,,
INV-54322,,Vendor,23465,,11-Apr-24,,6654,,30313,,36968,,36968,,
INV-33585,,Vendor,32917,,13-Apr-24,,10968,,49964,,60932,,60932,,
INV-12158,,Vendor,54218,,6-May-24,,15443,,70353,,85796,,85796,,
INV-80848,,Vendor,41856,,26-Apr-24,,1288,,5866,,7153,,7153,,
INV-93957,,Vendor,23879,,20-Apr-24,,2601,,11848,,14449,,14449,,
INV-91601,,Vendor,70958,,24-Apr-24,,4594,,20929,,25523,,25523,,
INV-44960,,Vendor,10473,,26-Apr-24,,6652,,30304,,36956,,36956,,
INV-95337,,Vendor,93393,,28-Apr-24,,5567,,25361,,30928,,30928,,
INV-77652,,Vendor,80839,,5-May-24,,9413,,42880,,52292,,52292,,
INV-89951,,Vendor,35321,,23-Apr-24,,2278,,10378,,12656,,12656,,
INV-47450,,Vendor,77620,,13-Apr-24,,321,,1463,,1784,,1784,,
INV-74556,,Vendor,89415,,24-Apr-24,,4760,,21686,,26447,,26447,,
INV-52970,,Vendor,82641,,21-Apr-24,,17457,,79528,,96986,,96986,,
INV-99795,,Vendor,46953,,30-Apr-24,,8320,,37903,,46223,,46223,,
INV-74532,,Vendor,91569,,20-Apr-24,,4371,,19911,,24281,,24281,,
INV-17358,,Vendor,87923,,15-Apr-24,,6185,,28177,,34362,,34362,,
INV-85199,,Vendor,40392,,6-May-24,,2188,,9967,,12155,,12155,,
INV-30738,,Vendor,63404,,23-Apr-24,,7472,,34040,,41513,,41513,,
INV-51283,,Vendor,21042,,8-Apr-24,,4474,,20383,,24857,,24857,,
INV-93683,,Vendor,35098,,3-May-24,,10798,,49193,,59991,,59991,,
INV-68142,,Vendor,42353,,8-Apr-24,,5221,,23785,,29006,,29006,,
INV-34460,,Vendor,47599,,11-Apr-24,,11242,,51214,,62456,,62456,,
INV-10895,,Vendor,91903,,13-Apr-24,,4151,,18910,,23061,,23061,,
INV-30954,,Vendor,86875,,18-Apr-24,,13832,,63014,,76846,,76846,,
INV-53551,,Vendor,29759,,11-Apr-24,,3346,,15241,,18587,,18587,,
INV-94509,,Vendor,81475,,24-Apr-24,,16904,,77006,,93910,,93910,,
INV-86632,,Vendor,25186,,11-Apr-24,,1651,,7523,,9175,,9175,,
INV-35831,,Vendor,34219,,11-Apr-24,,1088,,4955,,6043,,6043,,
INV-95848,,Vendor,42565,,20-Apr-24,,16386,,74648,,91034,,91034,,
INV-28690,,Vendor,28285,,22-Apr-24,,2276,,10368,,12644,,12644,,
INV-23155,,Vendor,68844,,25-Apr-24,,8392,,38229,,46620,,46620,,
INV-88186,,Vendor,85578,,28-Apr-24,,9154,,41702,,50856,,50856,,
INV-21890,,Vendor,46527,,7-Apr-24,,13371,,60911,,74281,,74281,,
INV-82890,,Vendor,58627,,22-Apr-24,,17876,,81436,,99313,,99313,,
INV-81276,,Vendor,70748,,9-Apr-24,,13295,,60568,,73863,,73863,,
INV-58619,,Vendor,39374,,22-Apr-24,,8665,,39472,,48136,,48136,,
INV-92489,,Vendor,45203,,21-Apr-24,,4214,,19197,,23410,,23410,,
INV-69733,,Vendor,78265,,20-Apr-24,,3730,,16991,,20721,,20721,,
INV-60332,,Vendor,80632,,7-Apr-24,,15858,,72243,,88101,,88101,,
INV-38344,,Vendor,78869,,5-May-24,,11756,,53557,,65313,,65313,,
INV-81125,,Vendor,62508,,30-Apr-24,,16971,,77315,,94286,,94286,,
INV-92743,,Vendor,49707,,1-May-24,,2241,,10209,,12450,,12450,,
INV-16737,,Vendor,69927,,6-May-24,,9170,,41773,,50943,,50943,,
INV-60225,,Vendor,90015,,13-Apr-24,,6883,,31357,,38240,,38240,,
INV-49662,,Vendor,35318,,11-Apr-24,,16316,,74327,,90642,,90642,,
INV-53048,,Vendor,60753,,13-Apr-24,,5427,,24724,,30152,,30152,,
INV-87481,,Vendor,29958,,6-May-24,,10068,,45865,,55932,,55932,,
INV-43015,,Vendor,32519,,5-May-24,,1395,,6354,,7749,,7749,,
INV-57968,,Vendor,54557,,11-Apr-24,,15440,,70339,,85779,,85779,,
INV-51938,,Vendor,26275,,22-Apr-24,,9881,,45012,,54892,,54892,,
INV-68388,,Vendor,24413,,8-Apr-24,,6246,,28456,,34702,,34702,,
INV-28330,,Vendor,71519,,19-Apr-24,,35,,161,,196,,196,,
INV-58441,,Vendor,30823,,22-Apr-24,,8323,,37915,,46238,,46238,,
INV-63549,,Vendor,14739,,7-Apr-24,,15751,,71752,,87503,,87503,,
INV-39143,,Vendor,27243,,1-May-24,,214,,976,,1190,,1190,,
INV-98232,,Vendor,12200,,25-Apr-24,,7109,,32386,,39495,,39495,,
INV-94146,,Vendor,83268,,27-Apr-24,,9568,,43588,,53156,,53156,,
INV-52902,,Vendor,93769,,28-Apr-24,,12215,,55647,,67862,,67862,,
INV-43179,,Vendor,41938,,12-Apr-24,,13586,,61891,,75477,,75477,,
INV-82502,,Vendor,45772,,6-May-24,,16240,,73984,,90224,,90224,,
INV-88240,,Vendor,66687,,9-Apr-24,,17943,,81739,,99682,,99682,,
INV-46779,,Vendor,11166,,10-Apr-24,,5561,,25336,,30897,,30897,,
INV-86788,,Vendor,20980,,10-Apr-24,,2090,,9520,,11610,,11610,,
INV-73687,,Vendor,29008,,15-Apr-24,,9164,,41745,,50909,,50909,,
INV-30717,,Vendor,47109,,16-Apr-24,,12780,,58219,,70999,,70999,,
INV-22957,,Vendor,58592,,5-May-24,,11456,,52190,,63646,,63646,,
INV-74081,,Vendor,68823,,8-Apr-24,,3916,,17841,,21757,,21757,,
INV-56290,,Vendor,84261,,12-Apr-24,,14626,,66629,,81254,,81254,,
INV-57756,,Vendor,43759,,25-Apr-24,,8595,,39154,,47749,,47749,,
INV-64890,,Vendor,14172,,27-Apr-24,,15866,,72279,,88146,,88146,,
INV-20792,,Vendor,62828,,12-Apr-24,,5411,,24649,,30060,,30060,,
INV-65271,,Vendor,26531,,26-Apr-24,,16101,,73347,,89448,,89448,,
INV-16319,,Vendor,12822,,25-Apr-24,,5450,,24830,,30280,,30280,,
INV-53429,,Vendor,73681,,7-Apr-24,,17903,,81558,,99461,,99461,,
INV-39902,,Vendor,89853,,30-Apr-24,,1393,,6344,,7737,,7737,,
INV-21563,,Vendor,43479,,21-Apr-24,,12257,,55835,,68092,,68092,,
INV-51842,,Vendor,26622,,20-Apr-24,,5044,,22977,,28020,,28020,,
INV-20770,,Vendor,16360,,12-Apr-24,,5138,,23408,,28546,,28546,,
INV-94402,,Vendor,54277,,17-Apr-24,,17366,,79110,,96476,,96476,,
INV-65882,,Vendor,43901,,23-Apr-24,,3735,,17014,,20748,,20748,,
INV-12135,,Vendor,26536,,20-Apr-24,,1132,,5155,,6286,,6286,,
INV-67256,,Vendor,97646,,10-Apr-24,,14098,,64225,,78324,,78324,,
INV-29206,,Vendor,53788,,2-May-24,,4461,,20321,,24782,,24782,,
INV-41903,,Vendor,66697,,5-May-24,,6240,,28428,,34668,,34668,,
INV-68412,,Vendor,38069,,2-May-24,,723,,3293,,4015,,4015,,
INV-35668,,Vendor,99832,,28-Apr-24,,14093,,64201,,78294,,78294,,
INV-55180,,Vendor,56306,,1-May-24,,5593,,25479,,31072,,31072,,
INV-61714,,Vendor,26444,,14-Apr-24,,3898,,17759,,21658,,21658,,
INV-90617,,Vendor,76669,,4-May-24,,10547,,48045,,58592,,58592,,
INV-72527,,Vendor,51623,,9-Apr-24,,14215,,64755,,78970,,78970,,
INV-29361,,Vendor,35376,,17-Apr-24,,12084,,55049,,67133,,67133,,
INV-69957,,Vendor,85961,,1-May-24,,16652,,75858,,92510,,92510,,
INV-40134,,Vendor,78406,,30-Apr-24,,5039,,22955,,27994,,27994,,
INV-57370,,Vendor,14428,,25-Apr-24,,14983,,68257,,83240,,83240,,
INV-24353,,Vendor,97630,,7-Apr-24,,12424,,56597,,69020,,69020,,
INV-40432,,Vendor,84832,,2-May-24,,3186,,14516,,17702,,17702,,
INV-91040,,Vendor,49278,,16-Apr-24,,3236,,14740,,17975,,17975,,
INV-72554,,Vendor,69871,,9-Apr-24,,15704,,71542,,87247,,87247,,
INV-66007,,Vendor,15913,,11-Apr-24,,12141,,55308,,67449,,67449,,
INV-79532,,Vendor,24188,,2-May-24,,13727,,62534,,76261,,76261,,
INV-37849,,Vendor,71213,,1-May-24,,2298,,10470,,12769,,12769,,
INV-34866,,Vendor,31052,,11-Apr-24,,17345,,79017,,96362,,96362,,
INV-44952,,Vendor,12943,,8-Apr-24,,175,,797,,971,,971,,
INV-86833,,Vendor,61139,,6-May-24,,11056,,50364,,61420,,61420,,
INV-21218,,Vendor,66543,,10-Apr-24,,1392,,6341,,7733,,7733,,
INV-64609,,Vendor,49374,,27-Apr-24,,11173,,50897,,62069,,62069,,
INV-44695,,Vendor,42410,,28-Apr-24,,6644,,30265,,36909,,36909,,
INV-66423,,Vendor,20658,,13-Apr-24,,3589,,16352,,19941,,19941,,
INV-21470,,Vendor,40186,,19-Apr-24,,17602,,80187,,97789,,97789,,
INV-20927,,Vendor,71256,,15-Apr-24,,5986,,27270,,33256,,33256,,
INV-20792,,Vendor,63227,,10-Apr-24,,11867,,54059,,65925,,65925,,
INV-61543,,Vendor,17223,,20-Apr-24,,2409,,10974,,13383,,13383,,
INV-20899,,Vendor,41139,,5-May-24,,17149,,78121,,95270,,95270,,
INV-36234,,Vendor,77926,,23-Apr-24,,3078,,14023,,17101,,17101,,
INV-35000,,Vendor,38912,,23-Apr-24,,15246,,69454,,84700,,84700,,
INV-94201,,Vendor,13390,,26-Apr-24,,1873,,8531,,10404,,10404,,
INV-72795,,Vendor,40183,,29-Apr-24,,2166,,9869,,12035,,12035,,
INV-25736,,Vendor,74879,,29-Apr-24,,9334,,42523,,51858,,51858,,
INV-86101,,Vendor,28345,,14-Apr-24,,8175,,37242,,45417,,45417,,
INV-79796,,Vendor,77143,,19-Apr-24,,8646,,39386,,48032,,48032,,
INV-43420,,Vendor,45078,,8-Apr-24,,2490,,11341,,13831,,13831,,
INV-49138,,Vendor,87161,,12-Apr-24,,12819,,58398,,71217,,71217,,
INV-74324,,Vendor,42610,,15-Apr-24,,2883,,13133,,16016,,16016,,
INV-70987,,Vendor,13911,,26-Apr-24,,8316,,37885,,46201,,46201,,
INV-71211,,Vendor,34639,,11-Apr-24,,17205,,78380,,95585,,95585,,
INV-24361,,Vendor,13108,,29-Apr-24,,6504,,29629,,36133,,36133,,
INV-48268,,Vendor,24664,,21-Apr-24,,17309,,78850,,96159,,96159,,
INV-96588,,Vendor,39312,,9-Apr-24,,7991,,36403,,44394,,44394,,
INV-10084,,Vendor,85426,,15-Apr-24,,241,,1097,,1338,,1338,,
INV-55916,,Vendor,16746,,3-May-24,,14110,,64277,,78387,,78387,,
INV-29229,,Vendor,40121,,18-Apr-24,,5668,,25820,,31488,,31488,,
INV-45007,,Vendor,26629,,5-May-24,,16021,,72985,,89006,,89006,,
INV-70285,,Vendor,17821,,4-May-24,,15303,,69712,,85014,,85014,,
INV-20130,,Vendor,65118,,14-Apr-24,,11302,,51488,,62790,,62790,,
INV-29495,,Vendor,39728,,15-Apr-24,,14538,,66227,,80765,,80765,,
INV-74290,,Vendor,33297,,18-Apr-24,,621,,2830,,3451,,3451,,
INV-96791,,Vendor,50568,,14-Apr-24,,11280,,51385,,62664,,62664,,
INV-54820,,Vendor,27350,,29-Apr-24,,135,,616,,751,,751,,
INV-62215,,Vendor,36811,,19-Apr-24,,9707,,44220,,53926,,53926,,
INV-87175,,Vendor,65843,,22-Apr-24,,4630,,21094,,25724,,25724,,
INV-41442,,Vendor,69801,,29-Apr-24,,13497,,61486,,74982,,74982,,
INV-51564,,Vendor,59503,,29-Apr-24,,16002,,72899,,88901,,88901,,
INV-68613,,Vendor,76505,,3-May-24,,11915,,54280,,66195,,66195,,
INV-92111,,Vendor,64631,,21-Apr-24,,1745,,7951,,9696,,9696,,
INV-55631,,Vendor,89939,,27-Apr-24,,3928,,17895,,21823,,21823,,
INV-40759,,Vendor,18153,,30-Apr-24,,1849,,8425,,10274,,10274,,
INV-61102,,Vendor,75299,,27-Apr-24,,16977,,77340,,94317,,94317,,
INV-50542,,Vendor,35897,,9-Apr-24,,4911,,22371,,27282,,27282,,
INV-71577,,Vendor,85449,,30-Apr-24,,12046,,54877,,66923,,66923,,
INV-82428,,Vendor,51526,,26-Apr-24,,17752,,80870,,98621,,98621,,
INV-81094,,Vendor,12304,,9-Apr-24,,17267,,78661,,95929,,95929,,
INV-18196,,Vendor,63878,,30-Apr-24,,4562,,20782,,25344,,25344,,
INV-94681,,Vendor,98070,,24-Apr-24,,7603,,34634,,42237,,42237,,
INV-64194,,Vendor,46039,,11-Apr-24,,6253,,28487,,34740,,34740,,
INV-32584,,Vendor,83701,,27-Apr-24,,7510,,34210,,41720,,41720,,
INV-68616,,Vendor,45139,,24-Apr-24,,2614,,11910,,14524,,14524,,
INV-50617,,Vendor,21560,,16-Apr-24,,8488,,38668,,47156,,47156,,
INV-66009,,Vendor,62930,,27-Apr-24,,14858,,67687,,82545,,82545,,
INV-76321,,Vendor,75279,,8-Apr-24,,7386,,33649,,41036,,41036,,
INV-41866,,Vendor,43595,,20-Apr-24,,1327,,6044,,7370,,7370,,
INV-22133,,Vendor,72752,,21-Apr-24,,8321,,37906,,46226,,46226,,
INV-69798,,Vendor,93689,,24-Apr-24,,12317,,56111,,68427,,68427,,
INV-68417,,Vendor,92741,,16-Apr-24,,7411,,33760,,41171,,41171,,
INV-66891,,Vendor,93452,,18-Apr-24,,7998,,36436,,44434,,44434,,
INV-85390,,Vendor,97742,,16-Apr-24,,7922,,36089,,44011,,44011,,
INV-77584,,Vendor,35834,,16-Apr-24,,3242,,14769,,18011,,18011,,
INV-27996,,Vendor,36743,,16-Apr-24,,461,,2102,,2563,,2563,,
INV-34694,,Vendor,96992,,12-Apr-24,,4516,,20574,,25090,,25090,,
INV-74929,,Vendor,31968,,9-Apr-24,,14442,,65789,,80231,,80231,,
INV-45044,,Vendor,78042,,6-May-24,,2995,,13645,,16640,,16640,,
INV-80262,,Vendor,28102,,30-Apr-24,,16606,,75651,,92258,,92258,,
INV-49647,,Vendor,55101,,30-Apr-24,,17419,,79351,,96770,,96770,,
INV-70184,,Vendor,80119,,12-Apr-24,,11581,,52758,,64338,,64338,,
INV-50618,,Vendor,53015,,16-Apr-24,,3845,,17517,,21363,,21363,,
INV-33403,,Vendor,34746,,28-Apr-24,,17107,,77931,,95038,,95038,,
INV-92304,,Vendor,50028,,26-Apr-24,,9066,,41300,,50365,,50365,,
INV-74115,,Vendor,40223,,23-Apr-24,,6989,,31839,,38828,,38828,,
INV-82698,,Vendor,49885,,5-May-24,,9636,,43896,,53532,,53532,,
INV-80844,,Vendor,95253,,4-May-24,,7857,,35792,,43649,,43649,,
INV-54512,,Vendor,67818,,29-Apr-24,,10175,,46354,,56529,,56529,,
INV-27588,,Vendor,28499,,18-Apr-24,,10133,,46161,,56293,,56293,,
INV-26926,,Vendor,36806,,18-Apr-24,,4171,,19001,,23172,,23172,,
INV-44528,,Vendor,52627,,4-May-24,,17704,,80652,,98356,,98356,,
INV-96586,,Vendor,46881,,9-Apr-24,,14747,,67180,,81927,,81927,,
INV-52641,,Vendor,24836,,5-May-24,,9540,,43459,,52998,,52998,,
INV-14350,,Vendor,96223,,20-Apr-24,,12132,,55266,,67398,,67398,,
INV-66160,,Vendor,86145,,11-Apr-24,,5450,,24827,,30277,,30277,,
INV-99643,,Vendor,75180,,1-May-24,,10257,,46726,,56983,,56983,,
INV-69115,,Vendor,17849,,12-Apr-24,,990,,4511,,5501,,5501,,
INV-47144,,Vendor,77296,,12-Apr-24,,13836,,63032,,76868,,76868,,
INV-91713,,Vendor,23824,,18-Apr-24,,15865,,72274,,88139,,88139,,
INV-92908,,Vendor,24621,,23-Apr-24,,13354,,60836,,74190,,74190,,
INV-17846,,Vendor,76703,,18-Apr-24,,3431,,15630,,19061,,19061,,
INV-93280,,Vendor,98186,,27-Apr-24,,1738,,7917,,9655,,9655,,
INV-98937,,Vendor,48614,,7-Apr-24,,8553,,38964,,47517,,47517,,
INV-29273,,Vendor,66391,,4-May-24,,14235,,64847,,79082,,79082,,
INV-80965,,Vendor,68000,,26-Apr-24,,7716,,35151,,42867,,42867,,
INV-23865,,Vendor,95477,,4-May-24,,11832,,53900,,65731,,65731,,
INV-33014,,Vendor,44062,,1-May-24,,10547,,48049,,58596,,58596,,
INV-44527,,Vendor,63818,,29-Apr-24,,6221,,28341,,34563,,34563,,
INV-43690,,Vendor,76974,,20-Apr-24,,6416,,29228,,35643,,35643,,
INV-59253,,Vendor,25908,,24-Apr-24,,13831,,63007,,76838,,76838,,
INV-54744,,Vendor,95193,,5-May-24,,6992,,31854,,38847,,38847,,
INV-90772,,Vendor,98294,,21-Apr-24,,4653,,21197,,25849,,25849,,
INV-97630,,Vendor,61480,,27-Apr-24,,12652,,57637,,70289,,70289,,
INV-76414,,Vendor,14971,,19-Apr-24,,172,,782,,954,,954,,
INV-46339,,Vendor,34410,,21-Apr-24,,1703,,7758,,9461,,9461,,
INV-17377,,Vendor,73242,,30-Apr-24,,3243,,14775,,18018,,18018,,
INV-58044,,Vendor,23813,,23-Apr-24,,5335,,24304,,29639,,29639,,
